entity_text,label,count
Velleius,pers,28
Gabinius,pers,28
Athena,pers,28
56,scope,28
Africanus,pers,28
Lacedæmon,loc,28
Opimius,pers,28
Cn.,pers,27
Platæa,loc,27
Hephæstion,pers,27
War,work,27
Harpalus,pers,27
Achilles,pers,27
Smith,pers,27
Sea,loc,27
Syracusan,loc,27
10,scope,27
Academy,work,26
Favonius,pers,26
Claudius,pers,26
Civil,work,26
58,scope,26
Great,pers,26
Kleitus,pers,26
Klearchus,pers,26
Horatius,pers,26
Surena,pers,26
66,scope,26
Marathon,loc,26
Rhodes,loc,26
Teribazus,pers,25
Terentia,pers,25
Perdikkas,pers,25
7,scope,25
Leuktra,loc,25
13,scope,25
Paulus,pers,25
Media,loc,25
Sea,work,25
Dyrrachium,loc,25
Byzantium,loc,25
Imperator,pers,25
Troy,loc,25
Munatius,pers,25
Parysatis,pers,25
Parmenio,pers,25
Acropolis,loc,25
Charon,pers,25
Grote,pers,25
Catiline,pers,24
Tacitus,pers,24
Dictator,work,24
Aegeus,pers,24
Cæcilius,pers,24
Philistus,pers,24
Kineas,pers,24
11,scope,24
57,scope,24
Curio,pers,24
Cæpio,pers,24
Porsena,pers,24
67,scope,24
Eleusis,loc,24
Cethegus,pers,23
69,scope,23
Reimarus,pers,23
Manius,pers,23
Sardinia,loc,23
Mantinea,loc,23
Paterculus,pers,23
Metella,pers,23
Boeotia,pers,23
Olympia,loc,23
Tiber,work,23
Poseidonius,pers,23
Messene,loc,23
Vindex,pers,23
Nymphidius,pers,23
Ephesus,loc,22
Ahenobarbus,pers,22
Cyclopædia,work,22
Tatius,pers,22
Solon,work,22
Temple,work,22
Dionysus,pers,22
Tarquin,pers,22
Leotychides,pers,22
Kleonymus,pers,22
Miltiades,pers,22
Canidius,pers,22
Pythagoras,pers,22
Mithridat,work,22
Orchomenus,pers,22
Labienus,pers,22
Ionia,loc,22
Hyrodes,pers,22
Roscius,pers,22
Porcia,pers,21
Kallias,pers,21
Babylon,loc,21
Cæsar,work,21
Aspasia,pers,21
Artemis,pers,21
Saturninus,pers,21
Utica,loc,21
Statira,pers,21
3,scope,21
Numitor,pers,21
Messala,pers,21
Chæronea,loc,21
Actium,loc,21
"8, 9",scope,21
Etruria,loc,21
Plinius,pers,21
Antiquities,work,21
Sardis,loc,21
Perperna,pers,21
6,scope,20
Kyzikus,pers,20
Sinope,loc,20
Licinius,pers,20
Lacedæmon,pers,20
Servilius,pers,20
Veii,loc,20
Leontini,pers,20
Senate,work,20
c. 10,scope,20
59,scope,20
Perpenna,pers,20
Apollonia,loc,20
Lucretius,pers,20
Caius Gracchus,pers,20
Remus,pers,20
8,scope,20
Tiberius Gracchus,pers,20
GUTENBERG,pers,20
Sextus,pers,19
Chios,loc,19
Polysperchon,pers,19
Anaxagoras,pers,19
c. 26,scope,19
Phalerum,loc,19
c. 34,scope,19
Bosporus,loc,19
Euxine,work,19
Sphodrias,pers,19
Artavasdes,pers,19
Mithridatic,work,19
c. 35,scope,19
Phrygia,loc,19
Civil War,work,19
Memmius,pers,19
P.,pers,19
Antalkidas,pers,19
Varro,pers,19
Gellius,pers,18
61,scope,18
Diogenes,pers,18
73,scope,18
Marcia,pers,18
Verres,pers,18
Tigellinus,pers,18
Amazons,work,18
_,work,18
Trebonius,pers,18
Metellus Pius,pers,18
Minos,pers,18
Amulius,pers,18
62,scope,18
Q,pers,18
Bocchus,pers,18
Stratonike,pers,18
Leonnatus,pers,18
Life of,work,18
Mardonius,pers,18
Kallippus,pers,18
Megalopolis,pers,18
Lives,work,18
5,scope,18
Chabrias,pers,18
Æmilius Paulus,pers,17
Celsus,pers,17
Corinthian,loc,17
Germany,loc,17
P,pers,17
Gallus,pers,17
60,scope,17
64,scope,17
Olympias,pers,17
Nikanor,pers,17
Croesus,pers,17
Nasica,pers,17
Timotheus,pers,17
Seleukeia,pers,17
Scipio Africanus,pers,17
Lydia,loc,17
Arcadia,loc,17
Macedonians,pers,17
Megara,pers,17
Demaratus,pers,17
Campania,loc,17
Mount,loc,17
Ariadne,pers,17
Ephorus,pers,17
Areopagus,work,17
B.C. 49,scope,17
B.C. 50,scope,17
Frontinus,pers,17
Fabricius,pers,17
Sophokles,pers,17
Brundisium,loc,17
Project Gutenberg,pers,16
PARAGRAPH,work,16
1.E.1 through,scope,16
1.E.1,scope,16
64-6221541,scope,16
Thermopylæ,loc,16
2001,scope,16
63,scope,16
Agamemnon,pers,16
Prætor,pers,16
North 1500 West,scope,16
1.F.2,scope,16
1.F.1,scope,16
801,scope,16
paragraphs,scope,16
Europe,loc,16
States,work,16
Erginus,pers,16
Brundusium,loc,16
Simonides,pers,16
3 and 4,scope,16
Aristomachus,pers,16
Aristippus,pers,16
Amisus,pers,16
596-1887,scope,16
Cæcina,pers,16
Miletus,loc,16
Xenokrates,pers,16
Virginius,pers,16
U.S.,pers,16
Vatinius,pers,16
Section 3,scope,16
Section 4,scope,16
UT,scope,16
Sections,scope,16
Section,scope,16
1.E.7,scope,16
1.E.8 or,scope,16
1.C,scope,16
68,scope,16
80,scope,16
Kallikratidas,pers,16
809,scope,16
84116,scope,16
paragraph 1.E.8,scope,16
PGLAF,work,16
1.E,scope,16
Chalkis,loc,16
1.E.8,scope,16
72,scope,16
1.E.1 through 1.E.7,scope,16
ASCII,work,16
Cotta,pers,16
Pittheus,pers,16
City,loc,16
Lydiades,pers,16
"5,000",scope,16
Salt Lake,loc,16
GUTENBERG,work,16
Messenia,loc,16
Damon,pers,16
Arsakes,pers,16
Lamia,pers,16
Michael S. Hart,pers,16
Mississippi,loc,16
Fabius Maximus,pers,16
Aristobulus,pers,15
Pontus,pers,15
"6,",scope,15
65,scope,15
History,work,15
88,scope,15
Pheidias,pers,15
Timon,pers,15
Attalus,pers,15
Florus,pers,15
India,loc,15
Megakles,pers,15
c. 1,scope,15
Calpurnius,pers,15
Dictionary,work,15
Delos,loc,15
Demeter,pers,15
Lælius,pers,15
Diokles,pers,15
B.C. 43,scope,15
Dict.,work,15
Gracchi,pers,15
71,scope,15
Parthia,loc,15
77,scope,15
Peiræus,pers,15
70,scope,15
Pindar,pers,15
Thales,pers,15
Ad,work,15
Æschines,pers,14
Pheræ,pers,14
Cnæus,pers,14
Junius Brutus,pers,14
Konon,pers,14
Eurybiades,pers,14
Jason,pers,14
Memoirs,work,14
c. 5,scope,14
Postumius,pers,14
Galatia,loc,14
Nabis,pers,14
c. 20,scope,14
Peiræus,loc,14
Polykrates,pers,14
Caspian,work,14
Phraates,pers,14
79,scope,14
Haliartus,pers,14
Nepos,pers,14
c. 12,scope,14
Agrippa,pers,14
Olympus,loc,14
Aristophanes,pers,14
Iliad,work,14
Aristomache,pers,14
Elpinike,pers,14
Lacedaemon,pers,14
Ephialtes,pers,14
Euergetes,pers,14
Stesimbrotus,pers,14
Pharsalus,loc,14
Lamachus,pers,14
Manilius,pers,14
Roms,work,14
Livia,pers,14
Macedon,loc,14
Lucania,loc,14
Tigris,work,14
Mucius,pers,14
Hermes,pers,14
Milo,pers,14
Deiotarus,pers,14
Mesopotamia,loc,14
Ægina,loc,13
c. 16,scope,13
c. 21,scope,13
76,scope,13
Gauls,work,13
c. 31,scope,13
Palatine,work,13
Phila,pers,13
81,scope,13
Chæronea,pers,13
Peloponnesian,work,13
Rhegium,loc,13
Red,work,13
Helen,pers,13
Capua,loc,13
Proculus,pers,13
Prætor,work,13
Valeria,pers,13
Douris,pers,13
Cæsarion,pers,13
c. 44,scope,13
Archimedes,pers,13
Diodorus,pers,13
Annius,pers,13
Mars,pers,13
Hera,pers,13
Hermippus,pers,13
Troezen,loc,13
Tusculum,loc,13
Hyperbolus,pers,13
Hypereides,pers,13
Sikyon,pers,13
Aristion,pers,13
Silanus,pers,13
Leosthenes,pers,13
Aristodemus,pers,13
Stratokles,pers,13
Kardia,pers,13
Fannius,pers,13
Juno,pers,13
Faustus,pers,13
Isthmus,work,13
Charikles,pers,13
Plancus,pers,12
Plancius,pers,12
Phœbidas,pers,12
sixth,scope,12
Pharnakes,pers,12
vol.,scope,12
Didius,pers,12
Antistius,pers,12
Mamercus,pers,12
Macedon,pers,12
Penny,pers,12
Flaminius,pers,12
Pontifex,pers,12
Pompeii,loc,12
Gelon,pers,12
B.C,date,12
c. 9,scope,12
Phrynichus,pers,12
Athene,pers,12
Athenians,pers,12
Athenodorus,pers,12
Bacchus,pers,12
Antium,loc,12
Volumnius,pers,12
Magnesia,loc,12
Katana,loc,12
FOOTNOTES,work,12
Peirithous,pers,12
c. 14,scope,12
Lesbos,pers,12
Nikokles,pers,12
Andokides,pers,12
Arete,pers,12
Mitylene,loc,12
Hieronymus,pers,12
Metrodorus,pers,12
Diversos,work,12
Xanthippus,pers,12
Ariobarzanes,pers,12
c. 29,scope,12
Ochus,pers,12
Cn.,work,12
87,scope,12
Casca,pers,12
Tegea,loc,12
Censorinus,pers,12
Theophanes,pers,12
Theodotus,pers,12
Numantines,work,12
i,scope,12
"Numa,",pers,12
c. 28,scope,12
Horace,pers,12
Skeiron,pers,12
Poseidon,pers,12
Thirty,work,12
Nektanebis,pers,12
Aristonikus,pers,12
Nearchus,pers,12
Zeno,pers,12
Octavianus,pers,12
Numantia,loc,12
Tachos,pers,12
Hist.,work,12
Antonia,pers,12
Drusus,pers,12
Hill,work,12
Flavius,pers,12
Porus,pers,12
B.C.,date,11
Gaul,work,11
Phokis,loc,11
Ventidius,pers,11
Pollio,pers,11
Geminius,pers,11
Brennus,pers,11
Paphlagonia,loc,11
Berenike,pers,11
Karneades,pers,11
Papirius,pers,11
the,scope,11
Macedonian,work,11
74,scope,11
Æschylus,pers,11
Censor,work,11
B.C. 55,scope,11
Chares,pers,11
Clusium,loc,11
Lacedæmonians,loc,11
Collatinus,pers,11
c. 25,scope,11
Hector,pers,11
Taxiles,pers,11
Naxos,loc,11
Artaxata,pers,11
Labeo,pers,11
Brundisium,pers,11
Campus Martius,work,11
Ammon,pers,11
c. 17,scope,11
Rhone,work,11
Licinia,pers,11
Deinon,pers,11
Lex,work,11
Talasius,pers,11
Agathokles,pers,11
Erasistratus,pers,11
Euboea,pers,11
Footnote,pers,11
Menelaus,pers,11
B.C. 63,scope,11
B.C. 44,scope,11
Elis,loc,11
Sacred,work,11
Apollonius,pers,11
Consul,work,11
Auletes,pers,11
Academ.,work,11
Timæus,pers,11
Achillas,pers,11
Pompeia,pers,11
King,work,11
Quirinus,pers,11
Messina,loc,11
Pharsalus,pers,11
82,scope,11
Menon,pers,11
89,scope,11
Calpurnia,pers,11
Samnites,pers,10
"8, 13",scope,10
Phylarchus,pers,10
Pergamum,loc,10
Apollodorus,pers,10
Marcellinus,pers,10
Caria,loc,10
c. 8,scope,10
chs,scope,10
Faustulus,pers,10
Sulla,loc,10
Kadmeia,work,10
part ii,scope,10
Diophanes,pers,10
Magnus,pers,10
Vettius,pers,10
Mancinus,pers,10
Brasidas,pers,10
King,loc,10
Medes,pers,10
Antiq.,pers,10
Pacorus,pers,10
Antiope,pers,10
Terentius,pers,10
Archilochus,pers,10
Hesiod,pers,10
M. Antonius,pers,10
Arabia,loc,10
Lutatius,pers,10
Lucilius,pers,10
Boeotia,loc,10
Eurotas,work,10
Spinther,pers,10
Hippokrates,pers,10
